HT_Code,AT_Code,FT_Result_code,HT_Form,AT_Form,FT_HT_Goals,FT_AT_Goals,HT_HT_Goals,HT_AT_Goals,HT_Shots,AT_Shots,HT_Shots_target,AT_Shots_target,HT_Fouls_Comm,AT_Fouls_Comm,HT_Corners,AT_Corners,HT_Yellows,AT_Yellows,HT_Reds,AT_Reds,HT_W_Odds,Draw_Odds,AT_W_Odds,5GAV_FT_HT_Goals,5GAV_FT_AT_Goals,5GAV_HT_Shots,5GAV_AT_Shots,5GAV_HT_Shots_target,5GAV_AT_Shots_target,5GAV_HT_Fouls_Comm,5GAV_AT_Fouls_Comm,5GAV_HT_Corners,5GAV_AT_Corners,5GAV_HT_Yellows,5GAV_AT_Yellows,5GAV_HT_Reds,5GAV_AT_Reds,HT_Result_code,AVG_Influence_HT,AVG_ICT_Index_HT,Injured_Players_HT,AVG_Influence_AT,AVG_ICT_Index_AT,Injured_Players_AT,HT_Players_Performances,AT_Players_Performances
30,3,0,6,7,2,2,0,1,17,11,7,2,17,12,4,5,3,4,0,0,2.38,3.3,3.3,1.0,0.8,11.6,10.6,4.2,3.2,11.6,10.4,5.4,4.8,1.8,1.6,0.2,0.0,0,6.133333333333333,2.295238095238095,2.0,9.143589743589745,2.0615384615384618,1.0,2.2142857142857135,4.602564102564103
27,31,0,1,5,1,1,0,1,7,17,2,7,7,13,6,5,1,3,0,0,2.5,3.25,3.2,0.0,0.0,2.2,0.6,0.6,0.2,1.6,2.6,1.8,0.2,0.6,0.6,0.0,0.0,0,23.066666666666663,3.4111111111111114,6.0,13.725,2.729166666666667,1.0,7.238888888888887,7.227083333333333
13,8,0,4,7,0,2,0,0,8,22,3,9,13,15,5,7,2,2,0,0,7.5,4.5,1.5,0.4,1.2,2.6,18.8,1.0,6.0,6.4,12.0,1.2,6.4,1.2,2.4,0.0,0.0,0,14.199999999999998,2.2444444444444445,5.0,12.013333333333332,3.3200000000000003,0.0,3.2222222222222214,7.666666666666666
19,26,0,9,1,1,1,0,0,24,7,9,6,14,9,13,2,3,0,0,0,1.33,5.75,10.0,1.4,0.2,13.0,8.6,4.8,3.0,10.6,11.0,4.6,4.8,1.6,2.0,0.4,0.0,0,11.608888888888888,2.824444444444444,2.0,7.573333333333333,1.586666666666667,1.0,5.216666666666666,3.58
29,18,1,13,15,2,0,2,0,13,12,7,6,20,10,4,3,2,2,0,0,3.0,3.5,2.5,2.8,3.4,14.8,15.0,6.2,6.4,9.0,10.0,7.4,6.6,1.2,1.2,0.0,0.0,1,10.520833333333334,3.541666666666667,2.0,16.05128205128205,4.184615384615385,2.0,5.03125,8.117948717948718
6,1,0,7,13,0,1,0,0,10,18,1,3,2,3,2,6,0,0,0,0,9.0,5.0,1.4,0.6,2.2,12.2,13.8,2.6,6.6,10.0,11.0,4.6,6.0,1.8,2.0,0.0,0.2,0,11.93939393939394,2.172727272727273,1.0,12.02051282051282,3.723076923076923,4.0,6.056060606060607,3.8717948717948723
15,25,0,7,7,0,0,0,0,9,11,1,5,9,9,3,6,1,0,0,0,2.25,3.4,3.5,1.4,0.8,11.8,8.4,4.4,3.4,8.0,8.6,3.8,4.4,1.4,1.6,0.0,0.4,0,10.338888888888889,2.8027777777777776,1.0,9.20392156862745,2.5392156862745097,3.0,5.570833333333333,2.87156862745098
3,13,1,8,1,6,1,3,1,22,11,10,4,8,14,5,4,0,3,0,0,1.85,3.5,5.0,2.6,1.2,11.8,12.2,4.6,3.2,8.4,10.8,4.6,5.6,1.2,2.2,0.0,0.0,1,15.071794871794872,3.261538461538461,4.0,10.866666666666667,1.9277777777777776,7.0,5.166666666666666,-0.6027777777777779
9,32,0,11,1,0,1,0,1,12,12,3,4,12,13,7,6,1,3,0,1,2.15,3.5,3.6,1.4,2.0,10.8,8.6,3.0,4.0,12.6,8.6,4.0,3.0,2.0,1.2,0.0,0.2,0,11.086666666666666,3.1366666666666667,3.0,8.570833333333333,1.9125,5.0,4.111666666666666,0.24166666666666625
26,27,1,2,2,2,0,2,0,18,11,6,1,10,13,6,4,1,1,0,0,2.0,3.6,4.0,1.6,0.8,9.8,11.2,3.8,3.4,10.0,14.4,1.8,6.4,0.8,2.6,0.2,0.0,1,11.466666666666663,2.8466666666666667,2.0,20.53333333333333,3.1555555555555554,7.0,5.1566666666666645,4.844444444444443
31,29,0,6,13,1,1,0,0,8,20,4,8,14,10,5,8,2,2,0,0,5.5,3.8,1.73,1.0,1.6,7.8,15.4,2.4,5.4,10.4,12.2,3.0,5.6,1.6,1.8,0.0,0.0,0,11.416666666666668,2.5583333333333336,1.0,11.3625,3.233333333333333,1.0,5.987500000000001,6.297916666666667
8,15,1,7,7,3,0,2,0,16,5,6,0,6,12,8,5,1,1,0,0,1.57,4.5,6.0,2.6,2.0,16.8,9.4,5.8,5.0,10.2,11.2,6.4,4.0,1.8,1.6,0.0,0.2,1,11.1625,2.9458333333333333,0.0,7.872222222222221,1.7333333333333334,2.0,7.054166666666666,2.802777777777777
18,10,0,12,10,1,1,0,0,19,3,8,2,7,9,13,1,0,2,0,0,1.5,4.75,7.0,2.0,1.6,19.4,16.0,5.8,5.8,7.6,12.2,7.8,6.0,0.8,2.0,0.0,0.4,0,11.830769230769231,3.661538461538461,3.0,8.6,2.303030303030303,3.0,4.746153846153846,2.451515151515151
