player_name,season_injured,injury,injured_since,injured_until,duration,games_missed,club
Asmir Begovic,2020-2021,Thigh Problems,2020-09-10,2020-09-14,4 days,1.0,Bournemouth
Asmir Begovic,2018-2019,Thumb Injury,2018-11-11,2018-11-24,13 days,,Stoke
David Luiz,2020-2021,Hamstring Injury,2021-05-03,2021-05-24,21 days,5.0,Arsenal
David Luiz,2020-2021,Ill,2020-12-25,2021-01-01,7 days,2.0,Arsenal
David Luiz,2020-2021,Head Injury,2020-12-01,2020-12-15,14 days,4.0,Arsenal
David Luiz,2020-2021,Knock,2020-11-27,2020-11-28,1 days,,Arsenal
David Luiz,2020-2021,Hamstring Injury,2020-10-26,2020-11-03,8 days,2.0,Arsenal
Gary Cahill,2020-2021,Knock,2020-12-20,2021-01-13,24 days,4.0,Crystal Palace
Gary Cahill,2020-2021,Calf Injury,2020-10-23,2020-11-06,14 days,2.0,Crystal Palace
Gary Cahill,2020-2021,Hamstring Injury,2020-07-08,2020-10-17,101 days,9.0,Crystal Palace
Gary Cahill,2019-2020,Knee Injury,2019-12-08,2020-01-04,27 days,5.0,Crystal Palace
Gary Cahill,2019-2020,Knee Injury,2019-12-01,2019-12-06,5 days,1.0,Crystal Palace
Kurt Zouma,2022-2023,Hamstring Injury,2023-01-27,2023-03-04,36 days,7.0,West Ham
Kurt Zouma,2022-2023,Knee Injury,2022-11-12,2023-01-09,58 days,5.0,West Ham
Kurt Zouma,2021-2022,Sprained Ankle,2022-04-18,2022-04-25,7 days,1.0,West Ham
Kurt Zouma,2021-2022,Hamstring Injury,2021-12-06,2022-01-17,42 days,10.0,West Ham
Kurt Zouma,2017-2018,Knee Injury,2018-03-29,2018-04-05,7 days,1.0,Stoke
Nathan Aké,2020-2021,Hamstring Injury,2020-12-27,2021-03-14,77 days,21.0,Man City
Nathan Aké,2020-2021,Hamstring Injury,2020-11-11,2020-11-30,19 days,3.0,Man City
Nathan Aké,2020-2021,Groin Strain,2020-10-21,2020-10-30,9 days,3.0,Man City
Nathan Aké,2020-2021,Groin Injury,2020-07-13,2020-07-25,12 days,2.0,Bournemouth
Nathan Aké,2019-2020,Head Injury,2020-02-10,2020-02-28,18 days,1.0,Bournemouth
Nathan Aké,2019-2020,Hamstring Injury,2019-12-08,2020-01-11,34 days,6.0,Bournemouth
Nathan Aké,2018-2019,Toe Injury,2018-08-04,2018-08-10,6 days,,Man City
Nathan Aké,2017-2018,Ankle Injury,2017-08-27,2017-09-08,12 days,,Man City
Tomas Kalas,2017-2018,Hip problems,2018-02-25,2018-03-20,23 days,4.0,Fulham
Tomas Kalas,2016-2017,Hamstring Injury,2016-12-17,2017-01-07,21 days,3.0,Fulham
Tomas Kalas,2016-2017,Unknown Injury,2016-09-20,2016-10-23,33 days,7.0,Fulham
John Terry,2017-2018,Metatarsal Fracture,2017-11-04,2018-01-05,62 days,11.0,Aston Villa
Branislav Ivanovic,2020-2021,Knock,2020-09-23,2020-10-03,10 days,1.0,West Brom
Ola Aina,2020-2021,Fitness,2020-09-11,2020-10-03,22 days,6.0,Fulham
N'Golo Kanté,2017-2018,Circulation Problems,2018-03-01,2018-03-05,4 days,1.0,Leicester
Nemanja Matic,2021-2022,Shinbone injury,2022-02-10,2022-02-18,8 days,2.0,Man Utd
Nemanja Matic,2019-2020,Unknown Injury,2019-10-20,2019-12-11,52 days,12.0,Man Utd
Nemanja Matic,2018-2019,Ill,2019-04-04,2019-04-15,11 days,2.0,Man Utd
Nemanja Matic,2018-2019,Bruise,2019-03-18,2019-03-29,11 days,,Man Utd
Nemanja Matic,2018-2019,Calf muscle strain,2019-02-20,2019-03-10,18 days,5.0,Man Utd
Nathaniel Chalobah,2022-2023,Knock,2022-07-30,2022-08-08,9 days,1.0,Fulham
Nathaniel Chalobah,2021-2022,Fitness,2021-12-03,2021-12-18,15 days,2.0,Fulham
Nathaniel Chalobah,2021-2022,Calf Injury,2021-10-16,2021-12-03,48 days,10.0,Fulham
Nathaniel Chalobah,2021-2022,Hamstring Injury,2021-09-25,2021-10-08,13 days,3.0,Fulham
Nathaniel Chalobah,2020-2021,Corona virus,2020-08-26,2020-09-09,14 days,,Watford
Nathaniel Chalobah,2019-2020,Back Injury,2020-02-02,2020-02-07,5 days,,Watford
Nathaniel Chalobah,2019-2020,Groin Injury,2020-01-23,2020-01-31,8 days,1.0,Watford
Nathaniel Chalobah,2019-2020,Groin Injury,2020-01-05,2020-01-11,6 days,,Watford
Nathaniel Chalobah,2018-2019,Knee Injury,2018-10-17,2018-11-02,16 days,2.0,Fulham
Nathaniel Chalobah,2017-2018,Knee Surgery,2017-09-20,2018-08-26,340 days,38.0,Fulham
Nathaniel Chalobah,2016-2017,groin strain,2017-06-28,2017-07-20,22 days,,Fulham
Nathaniel Chalobah,2016-2017,groin strain,2017-06-23,2017-06-25,2 days,,Fulham
Ruben Loftus-Cheek,2018-2019,Foot Injury,2018-09-13,2018-09-19,6 days,1.0,Crystal Palace
Ruben Loftus-Cheek,2017-2018,Injury to the ankle,2017-12-28,2018-03-31,93 days,14.0,Crystal Palace
Ruben Loftus-Cheek,2017-2018,Thigh Muscle Strain,2017-09-28,2017-10-19,21 days,2.0,Crystal Palace
Lucas Piazon,2018-2019,Flu,2018-02-17,2018-02-20,3 days,1.0,Fulham
Lucas Piazon,2017-2018,Fibula Fracture,2017-08-15,2017-12-23,130 days,22.0,Fulham
Lucas Piazon,2016-2017,Fractured Jaw,2017-02-25,2017-04-03,37 days,7.0,Fulham
Willian,2022-2023,Calf Injury,2022-09-29,2022-10-12,13 days,2.0,Fulham
Willian,2020-2021,Ill,2020-12-25,2021-01-01,7 days,2.0,Arsenal
Willian,2020-2021,Calf Injury,2020-11-23,2020-11-28,5 days,1.0,Arsenal
Willian,2020-2021,Calf Injury,2020-10-18,2020-10-31,13 days,3.0,Arsenal
Kenedy,2018-2019,Toe Injury,2019-01-11,2019-01-28,17 days,4.0,Newcastle
Kenedy,2018-2019,Foot Injury,2018-12-16,2018-12-21,5 days,,Newcastle
Kenedy,2018-2019,Toe Injury,2018-12-02,2018-12-08,6 days,1.0,Watford
Christian Atsu,2019-2020,Ill,2020-02-21,2020-03-01,9 days,2.0,Newcastle
Christian Atsu,2019-2020,Hamstring Injury,2019-08-12,2019-08-24,12 days,1.0,Newcastle
Christian Atsu,2017-2018,Knee Injury,2018-04-13,2018-07-01,79 days,6.0,Newcastle
Christian Atsu,2017-2018,Thigh Muscle Strain,2017-11-08,2017-12-02,24 days,4.0,Newcastle
Bertrand Traoré,2021-2022,Corona virus,2022-01-10,2022-01-16,6 days,2.0,Aston Villa
Bertrand Traoré,2021-2022,Strain in the thigh and gluteal muscles,2021-10-20,2021-12-25,66 days,9.0,Aston Villa
Bertrand Traoré,2020-2021,Bruised Rib,2020-11-02,2020-11-20,18 days,1.0,Aston Villa
Bertrand Traoré,2020-2021,Ill,2020-09-14,2020-09-19,5 days,,Aston Villa
Loïc Rémy,2016-2017,Calf Strain,2016-11-17,2017-01-07,51 days,10.0,Crystal Palace
Loïc Rémy,2016-2017,Hamstring Injury,2016-09-05,2016-11-05,61 days,9.0,Crystal Palace
Dominic Solanke,2022-2023,Knee Injury,2023-01-13,2023-02-06,24 days,3.0,Bournemouth
Dominic Solanke,2020-2021,Ankle Injury,2021-02-03,2021-02-25,22 days,6.0,Bournemouth
Dominic Solanke,2018-2019,Hamstring Injury,2019-04-28,2019-05-31,33 days,2.0,Bournemouth
Dominic Solanke,2018-2019,Strain,2019-02-24,2019-03-08,12 days,2.0,Bournemouth
Dominic Solanke,2018-2019,Hamstring Injury,2018-12-23,2019-01-30,38 days,8.0,Liverpool
Dominic Solanke,2018-2019,Groin Strain,2018-11-25,2019-01-29,65 days,6.0,Bournemouth
Dominic Solanke,2018-2019,Concussion,2018-09-16,2018-09-25,9 days,2.0,Liverpool
Dominic Solanke,2022-2023,Knee Injury,2023-01-13,2023-02-06,24 days,3.0,Liverpool
Claudio Bravo,2018-2019,Fitness,2019-04-04,2019-05-12,38 days,9.0,Man City
Claudio Bravo,2018-2019,Achilles tendon rupture,2018-08-20,2019-04-03,226 days,48.0,Man City
Claudio Bravo,2016-2017,Disrupted Calf Muscle,2017-04-27,2017-06-23,57 days,6.0,Man City
Angus Gunn,2020-2021,Ankle Injury,2020-11-08,2021-01-19,72 days,16.0,Stoke
John Stones,2022-2023,Hamstring Injury,2023-01-27,2023-03-01,33 days,8.0,Man City
John Stones,2022-2023,Hamstring Injury,2022-09-26,2022-10-20,24 days,5.0,Man City
John Stones,2020-2021,Rest ,2021-01-22,2021-01-24,2 days,1.0,Man City
John Stones,2020-2021,Knock,2020-09-22,2020-10-02,10 days,3.0,Man City
John Stones,2020-2021,Ankle Injury,2020-06-19,2020-06-27,8 days,2.0,Man City
John Stones,2019-2020,Foot Injury,2020-01-19,2020-01-25,6 days,1.0,Man City
John Stones,2019-2020,Knock,2019-12-08,2020-01-03,26 days,7.0,Man City
John Stones,2019-2020,Muscle Injury,2019-09-17,2019-10-22,35 days,8.0,Man City
John Stones,2018-2019,Muscle Injury,2019-08-16,2019-09-13,28 days,3.0,Man City
John Stones,2018-2019,Groin Injury,2019-03-05,2019-03-29,24 days,3.0,Man City
John Stones,2018-2019,Groin Strain,2019-02-17,2019-03-01,12 days,3.0,Man City
John Stones,2017-2018,Minor Knock,2018-06-28,2018-07-02,4 days,,Man City
John Stones,2017-2018,Tear in the abductor muscle,2018-04-05,2018-05-03,28 days,5.0,Man City
John Stones,2017-2018,Hamstring Injury,2017-11-20,2018-01-01,42 days,12.0,Everton
Nicolás Otamendi,2019-2020,Knock,2019-12-31,2020-01-06,6 days,2.0,Man City
Nicolás Otamendi,2019-2020,Knock,2019-10-10,2019-10-21,11 days,1.0,Man City
Nicolás Otamendi,2018-2019,Knee Injury,2019-03-17,2019-03-29,12 days,,Man City
Nicolás Otamendi,2018-2019,Achilles tendon problems,2018-11-10,2018-11-23,13 days,1.0,Man City
Nicolás Otamendi,2018-2019,Knock,2018-10-30,2018-11-06,7 days,2.0,Man City
Vincent Kompany,2018-2019,Muscle Injury,2019-01-03,2019-02-19,47 days,12.0,Man City
Vincent Kompany,2018-2019,Muscle Injury,2018-12-12,2018-12-30,18 days,6.0,Man City
Vincent Kompany,2017-2018,groin strain,2018-06-04,2018-06-18,14 days,,Man City
Vincent Kompany,2017-2018,Calf Strain,2017-12-27,2018-01-18,22 days,6.0,Man City
Vincent Kompany,2017-2018,Muscle Injury,2017-12-11,2017-12-21,10 days,3.0,Man City
Vincent Kompany,2017-2018,Calf Injury,2017-08-31,2017-11-16,77 days,14.0,Man City
Vincent Kompany,2016-2017,Leg Injury,2017-02-16,2017-03-06,18 days,4.0,Man City
Vincent Kompany,2016-2017,Knee Injury,2016-11-21,2017-01-02,42 days,10.0,Man City
Vincent Kompany,2016-2017,Groin Injury,2016-09-22,2016-10-24,32 days,6.0,Man City
Vincent Kompany,2016-2017,Groin Injury,2016-05-05,2016-09-15,133 days,9.0,Man City
Eliaquim Mangala,2019-2020,Hamstring Injury,2020-02-23,2020-05-23,90 days,3.0,Everton
Eliaquim Mangala,2017-2018,Knee Injury,2018-02-10,2018-10-30,262 days,27.0,Man City
Aleksandar Kolarov,2017-2018,Muscle Fatigue,2018-04-20,2018-04-23,3 days,1.0,Man City
Gaël Clichy,2017-2018,Unknown Injury,2017-11-21,2017-11-24,3 days,1.0,Man City
Gaël Clichy,2016-2017,Back Injury,2017-02-09,2017-03-01,20 days,4.0,Man City
Oleksandr Zinchenko,2022-2023,Calf Injury,2022-09-16,2022-11-01,46 days,10.0,Arsenal
Oleksandr Zinchenko,2022-2023,Knee Problems,2022-08-26,2022-09-03,8 days,2.0,Arsenal
Oleksandr Zinchenko,2021-2022,Corona virus,2022-01-01,2022-01-31,30 days,4.0,Man City
Oleksandr Zinchenko,2021-2022,Unknown Injury,2021-09-17,2021-10-14,27 days,5.0,Man City
Oleksandr Zinchenko,2021-2022,Fitness,2021-07-31,2021-08-08,8 days,1.0,Man City
Oleksandr Zinchenko,2020-2021,Knock,2020-12-02,2020-12-18,16 days,4.0,Man City
Oleksandr Zinchenko,2020-2021,Quarantine,2020-11-18,2020-11-30,12 days,3.0,Man City
Oleksandr Zinchenko,2020-2021,Knock,2020-09-28,2020-10-20,22 days,3.0,Man City
Oleksandr Zinchenko,2020-2021,Muscle Injury,2020-09-20,2020-09-25,5 days,2.0,Man City
Oleksandr Zinchenko,2019-2020,Calf muscle strain,2020-02-05,2020-02-27,22 days,3.0,Man City
Oleksandr Zinchenko,2019-2020,Knock,2020-01-05,2020-01-19,14 days,3.0,Man City
Oleksandr Zinchenko,2019-2020,Ill,2019-12-30,2020-01-03,4 days,1.0,Man City
Oleksandr Zinchenko,2019-2020,Knee Surgery,2019-10-18,2019-12-14,57 days,13.0,Man City
Oleksandr Zinchenko,2019-2020,Muscle Fatigue,2019-09-19,2019-09-25,6 days,2.0,Man City
Oleksandr Zinchenko,2019-2020,Thigh Muscle Strain,2019-08-18,2019-08-24,6 days,,Arsenal
Oleksandr Zinchenko,2018-2019,Thigh Muscle Strain,2019-04-04,2019-04-19,15 days,4.0,Man City
Oleksandr Zinchenko,2018-2019,Muscle Fatigue,2019-01-23,2019-02-04,12 days,4.0,Man City
Oleksandr Zinchenko,2018-2019,Muscle Fatigue,2019-01-10,2019-01-22,12 days,2.0,Man City
Oleksandr Zinchenko,2018-2019,Nose Injury,2018-12-01,2018-12-14,13 days,4.0,Man City
Oleksandr Zinchenko,2018-2019,Muscle Injury,2018-10-28,2018-11-12,15 days,5.0,Man City
Oleksandr Zinchenko,2018-2019,Hip Injury,2018-09-16,2018-09-24,8 days,2.0,Man City
Oleksandr Zinchenko,2018-2019,Hip Injury,2018-08-10,2018-09-12,33 days,4.0,Man City
Pablo Zabaleta,2018-2019,Ill,2018-12-26,2018-12-28,2 days,1.0,West Ham
Bacary Sagna,2017-2018,Muscle Fatigue,2018-03-26,2018-04-03,8 days,1.0,Man City
Bacary Sagna,2016-2017,Groin Strain,2017-03-19,2017-06-30,103 days,12.0,Man City
Bacary Sagna,2016-2017,Hamstring Injury,2016-10-12,2016-11-18,37 days,7.0,Man City
Bacary Sagna,2016-2017,Muscular problems,2016-08-17,2016-09-09,23 days,3.0,Man City
Fernandinho,2020-2021,Knock,2021-02-08,2021-02-16,8 days,2.0,Man City
Fernandinho,2020-2021,Knock,2020-10-22,2020-11-24,33 days,6.0,Man City
Fernandinho,2019-2020,Knock,2020-01-23,2020-02-01,9 days,2.0,Man City
Fernandinho,2018-2019,Knee Problems,2019-06-20,2019-06-30,10 days,,Man City
Fernandinho,2018-2019,Knee Injury,2019-04-25,2019-06-04,40 days,4.0,Man City
Fernandinho,2018-2019,Knock,2019-04-10,2019-04-15,5 days,1.0,Man City
Fernandinho,2018-2019,Muscle Injury,2019-02-25,2019-03-30,33 days,6.0,Man City
Fernandinho,2018-2019,Thigh Muscle Strain,2018-12-15,2018-12-28,13 days,4.0,Man City
Fernandinho,2018-2019,Thigh Muscle Strain,2018-12-09,2018-12-14,5 days,1.0,Man City
Fernandinho,2018-2019,Knock,2018-08-20,2018-08-24,4 days,,Man City
Fernandinho,2017-2018,Hamstring Injury,2018-02-26,2018-03-11,13 days,3.0,Man City
Fernandinho,2016-2017,Knock,2016-11-02,2016-11-04,2 days,,Man City
Ilkay Gündogan,2021-2022,Hamstring Injury,2021-09-19,2021-10-12,23 days,4.0,Man City
Ilkay Gündogan,2020-2021,groin strain,2021-02-16,2021-02-19,3 days,1.0,Man City
Ilkay Gündogan,2020-2021,Ankle Injury,2020-12-27,2021-01-02,6 days,,Man City
Ilkay Gündogan,2020-2021,Corona virus,2020-09-21,2020-10-16,25 days,5.0,Man City
Ilkay Gündogan,2019-2020,Influenza,2019-09-07,2019-09-12,5 days,,Man City
Ilkay Gündogan,2019-2020,Knock,2019-04-26,2019-04-27,1 days,,Man City
Ilkay Gündogan,2019-2020,Knock,2018-12-27,2019-01-02,6 days,1.0,Man City
Ilkay Gündogan,2018-2019,Hamstring Injury,2018-10-03,2018-11-06,34 days,6.0,Man City
Fabian Delph,2021-2022,Hamstring Injury,2022-01-21,2022-04-05,74 days,12.0,Everton
Fabian Delph,2021-2022,Shoulder Injury,2021-08-27,2021-10-25,59 days,8.0,Everton
Fabian Delph,2020-2021,Hamstring Injury,2020-12-06,2021-02-03,59 days,12.0,Everton
Fabian Delph,2020-2021,Bruise,2020-11-02,2020-11-27,25 days,2.0,Everton
Fabian Delph,2019-2020,Calf Injury,2020-06-02,2020-09-23,113 days,13.0,Everton
Fabian Delph,2019-2020,Muscle Injury,2019-11-04,2019-12-20,46 days,7.0,Everton
Fabian Delph,2019-2020,Muscle Injury,2019-10-06,2019-10-24,18 days,1.0,Everton
Fabian Delph,2019-2020,Calf Injury,2019-08-03,2019-08-31,28 days,4.0,Everton
Fabian Delph,2018-2019,Bruise,2019-03-17,2019-04-08,22 days,3.0,Man City
Fabian Delph,2018-2019,Ill,2019-02-21,2019-03-08,15 days,3.0,Man City
Fabian Delph,2018-2019,Bruise,2018-09-23,2018-10-31,38 days,7.0,Man City
Fabian Delph,2017-2018,Muscle Injury,2018-03-05,2018-03-31,26 days,3.0,Man City
Fabian Delph,2017-2018,Knee Injury,2018-01-14,2018-02-11,28 days,7.0,Man City
Fabian Delph,2017-2018,Calf Problems,2017-11-06,2017-11-13,7 days,,Man City
Fabian Delph,2016-2017,Muscle Injury,2016-09-01,2017-01-05,126 days,25.0,Everton
Kevin De Bruyne,2022-2023,Ill,2023-02-21,2023-02-24,3 days,1.0,Man City
Kevin De Bruyne,2021-2022,Corona virus,2021-11-19,2021-12-03,14 days,4.0,Man City
Kevin De Bruyne,2021-2022,Ankle Injury,2021-08-01,2021-09-10,40 days,4.0,Man City
Kevin De Bruyne,2020-2021,Facial Fracture,2021-05-29,2021-06-14,16 days,1.0,Man City
Kevin De Bruyne,2020-2021,Fracture of the orbit,2021-05-29,2021-06-07,9 days,1.0,Man City
Kevin De Bruyne,2020-2021,Muscular problems,2021-05-05,2021-05-15,10 days,2.0,Man City
Kevin De Bruyne,2020-2021,Hamstring Injury,2021-01-21,2021-02-16,26 days,7.0,Man City
Kevin De Bruyne,2020-2021,Muscle Injury,2020-10-12,2020-10-22,10 days,2.0,Man City
Kevin De Bruyne,2019-2020,Back Injury,2020-03-02,2020-03-10,8 days,2.0,Man City
Kevin De Bruyne,2019-2020,Ankle problems,2019-09-29,2019-10-15,16 days,2.0,Man City
Kevin De Bruyne,2018-2019,Hamstring Injury,2019-04-21,2019-05-11,20 days,3.0,Man City
Kevin De Bruyne,2018-2019,Thigh Problems,2019-03-02,2019-03-29,27 days,4.0,Man City
Kevin De Bruyne,2018-2019,Muscular problems,2018-12-27,2019-01-02,6 days,1.0,Man City
Kevin De Bruyne,2018-2019,Ligament Injury,2018-11-01,2018-12-14,43 days,10.0,Man City
Kevin De Bruyne,2018-2019,Torn knee ligament,2018-08-15,2018-10-19,65 days,10.0,Man City
Kevin De Bruyne,2016-2017,Groin Injury,2017-03-24,2017-03-31,7 days,,Man City
Kevin De Bruyne,2016-2017,Calf Injury,2016-10-23,2016-10-28,5 days,2.0,Man City
Kevin De Bruyne,2016-2017,Hamstring Injury,2016-09-25,2016-10-14,19 days,2.0,Man City
David Silva,2020-2021,Corona virus,2020-08-31,2020-09-11,11 days,,Man City
David Silva,2019-2020,Knock,2019-12-08,2019-12-31,23 days,6.0,Man City
David Silva,2019-2020,Ill,2019-11-24,2019-11-25,1 days,,Man City
David Silva,2019-2020,Strain,2019-11-03,2019-11-09,6 days,1.0,Man City
David Silva,2018-2019,Hamstring Injury,2018-12-08,2018-12-26,18 days,6.0,Man City
Samir Nasri,2018-2019,Calf Strain,2019-03-17,2019-04-07,21 days,1.0,West Ham
Samir Nasri,2018-2019,Calf Problems,2019-01-22,2019-02-18,27 days,4.0,West Ham
Samir Nasri,2017-2018,Unknown Injury,2017-11-28,2018-01-29,62 days,10.0,West Ham
Samir Nasri,2019-2020,Tear in the abductor muscle,2020-01-18,2020-09-15,241 days,5.0,Man City
Raheem Sterling,2020-2021,Knock,2021-01-08,2021-01-12,4 days,1.0,Man City
Raheem Sterling,2020-2021,Calf Strain,2020-11-14,2020-11-20,6 days,,Man City
Raheem Sterling,2019-2020,Hamstring Injury,2020-02-02,2020-02-24,22 days,3.0,Man City
Raheem Sterling,2018-2019,Back Injury,2018-09-02,2018-09-14,12 days,,Man City
Raheem Sterling,2017-2018,Hamstring Injury,2018-02-13,2018-03-11,26 days,6.0,Liverpool
Raheem Sterling,2017-2018,Back trouble,2017-11-06,2017-11-15,9 days,,Liverpool
Phil Foden,2022-2023,Appendectomy,2023-03-26,2023-03-31,5 days,,Man City
Phil Foden,2021-2022,Foot Injury,2021-08-01,2021-09-09,39 days,4.0,Man City
Phil Foden,2019-2020,Ill,2019-09-15,2019-09-25,10 days,3.0,Man City
Phil Foden,2017-2018,Foot Injury,2017-12-21,2018-02-09,50 days,12.0,Man City
Leroy Sané,2020-2021,Tear in a joint capsule,2020-09-28,2020-10-22,24 days,5.0,Man City
Leroy Sané,2019-2020,Cruciate Ligament Rupture,2019-08-05,2020-03-09,217 days,44.0,Man City
Leroy Sané,2017-2018,Torn Ligament,2018-01-29,2018-02-12,14 days,3.0,Man City
Leroy Sané,2017-2018,Cold,2017-11-27,2017-12-04,7 days,2.0,Man City
Leroy Sané,2016-2017,Nose surgery,2017-05-22,2017-07-03,42 days,,Man City
Sergio Agüero,2021-2022,Calf Injury,2021-08-07,2021-10-16,70 days,9.0,Man City
Sergio Agüero,2020-2021,Corona virus,2021-01-07,2021-02-12,36 days,10.0,Man City
Sergio Agüero,2020-2021,Knock,2020-12-17,2020-12-18,1 days,,Man City
Sergio Agüero,2020-2021,Knee Injury,2020-11-26,2020-12-08,12 days,3.0,Man City
Sergio Agüero,2020-2021,Hamstring Injury,2020-10-25,2020-11-20,26 days,4.0,Man City
Sergio Agüero,2019-2020,Knee Injury,2020-06-23,2020-10-16,115 days,17.0,Man City
Sergio Agüero,2019-2020,Thigh Muscle Strain,2020-03-09,2020-03-31,22 days,,Man City
Sergio Agüero,2019-2020,Muscle Injury,2019-11-24,2019-12-20,26 days,7.0,Man City
Sergio Agüero,2018-2019,Thigh Problems,2019-03-31,2019-04-08,8 days,2.0,Man City
Sergio Agüero,2018-2019,Ill,2019-01-04,2019-01-13,9 days,2.0,Man City
Sergio Agüero,2018-2019,Ankle Injury,2018-09-16,2018-09-18,2 days,,Man City
Sergio Agüero,2017-2018,Knee Injury,2018-04-13,2018-05-27,44 days,6.0,Man City
Sergio Agüero,2017-2018,Knee Injury,2018-03-11,2018-04-05,25 days,3.0,Man City
Sergio Agüero,2017-2018,Fractured Rib,2017-09-28,2017-10-14,16 days,2.0,Man City
Sergio Agüero,2016-2017,Muscular problems,2016-08-29,2016-09-12,14 days,1.0,Man City
Gabriel Jesus,2022-2023,Knee Injury,2022-12-02,2023-03-11,99 days,15.0,Arsenal
Gabriel Jesus,2020-2021,Corona virus,2020-12-23,2021-01-04,12 days,2.0,Man City
Gabriel Jesus,2020-2021,Knock,2020-12-16,2020-12-20,4 days,1.0,Man City
Gabriel Jesus,2020-2021,Knock,2020-09-22,2020-11-02,41 days,9.0,Man City
Gabriel Jesus,2019-2020,Ill,2019-12-22,2019-12-28,6 days,1.0,Man City
Gabriel Jesus,2019-2020,Hamstring Injury,2019-08-18,2019-09-13,26 days,2.0,Man City
Gabriel Jesus,2018-2019,Hamstring Injury,2019-02-18,2019-03-02,12 days,4.0,Man City
Gabriel Jesus,2018-2019,Knock,2018-12-23,2018-12-29,6 days,1.0,Man City
Gabriel Jesus,2018-2019,Groin Strain,2018-11-25,2018-11-30,5 days,1.0,Man City
Gabriel Jesus,2017-2018,Torn Knee Ligament,2018-01-01,2018-02-24,54 days,12.0,Man City
Gabriel Jesus,2017-2018,Fracture of the orbit,2017-06-10,2017-06-30,20 days,,Man City
Gabriel Jesus,2016-2017,Metatarsal Fracture,2017-02-16,2017-04-24,67 days,13.0,Arsenal
Wilfried Bony,2017-2018,Cruciate Ligament Injury,2018-02-03,2018-11-10,280 days,35.0,Swansea
Wilfried Bony,2017-2018,Thigh Problems,2017-09-30,2017-11-18,49 days,7.0,Swansea
Kelechi Iheanacho,2019-2020,Head Injury,2020-02-23,2020-02-27,4 days,,Man City
Kelechi Iheanacho,2017-2018,Fractured Finger,2018-03-25,2018-03-29,4 days,,Man City
Hugo Lloris,2022-2023,Knee Injury,2023-02-06,2023-03-22,44 days,9.0,Spurs
Hugo Lloris,2020-2021,Knock,2020-11-30,2020-12-05,5 days,1.0,Spurs
Hugo Lloris,2020-2021,Knock,2020-11-22,2020-11-28,6 days,1.0,Spurs
Hugo Lloris,2019-2020,Groin Strain,2020-02-23,2020-03-06,12 days,2.0,Spurs
Hugo Lloris,2019-2020,Elbow Injury,2019-10-06,2020-01-18,104 days,21.0,Spurs
Hugo Lloris,2018-2019,Muscle Injury,2019-04-18,2019-04-23,5 days,2.0,Spurs
Hugo Lloris,2018-2019,Thigh Muscle Strain,2018-08-28,2018-10-02,35 days,6.0,Spurs
Hugo Lloris,2017-2018,Problems with the hip flexor,2017-11-02,2017-11-16,14 days,1.0,Spurs
Hugo Lloris,2016-2017,Hamstring Injury,2016-08-15,2016-09-15,31 days,4.0,Spurs
Michel Vorm,2018-2019,Knee Injury,2018-09-21,2018-10-21,30 days,6.0,Spurs
Michel Vorm,2017-2018,Minor Knock,2017-11-02,2017-11-16,14 days,1.0,Spurs
Toby Alderweireld,2020-2021,Groin Strain,2020-11-21,2020-12-05,14 days,4.0,Spurs
Toby Alderweireld,2017-2018,Hamstring Injury,2017-11-02,2018-03-11,129 days,29.0,Spurs
Toby Alderweireld,2016-2017,Knee Injury,2016-10-17,2016-12-01,45 days,9.0,Spurs
Jan Vertonghen,2019-2020,Muscle Injury,2019-10-31,2019-11-24,24 days,4.0,Spurs
Jan Vertonghen,2018-2019,Head Injury,2019-05-01,2019-05-31,30 days,3.0,Spurs
Jan Vertonghen,2018-2019,Hip Injury,2019-02-24,2019-03-01,5 days,1.0,Spurs
Jan Vertonghen,2018-2019,Hamstring Injury,2018-12-12,2019-01-12,31 days,8.0,Spurs
Jan Vertonghen,2018-2019,Hamstring Injury,2018-09-29,2018-11-22,54 days,10.0,Spurs
Jan Vertonghen,2016-2017,Ankle Injury,2017-01-14,2017-02-18,35 days,7.0,Spurs
Eric Dier,2021-2022,Thigh Problems,2022-02-04,2022-02-15,11 days,3.0,Spurs
Eric Dier,2021-2022,Thigh Problems,2022-01-03,2022-01-20,17 days,4.0,Spurs
Eric Dier,2020-2021,Strain,2020-10-13,2020-10-25,12 days,2.0,Spurs
Eric Dier,2019-2020,Hip problems,2019-08-30,2019-09-12,13 days,1.0,Spurs
Eric Dier,2018-2019,Hip Injury,2019-03-22,2019-04-20,29 days,6.0,Spurs
Eric Dier,2018-2019,Virus Infection,2019-02-03,2019-03-08,33 days,6.0,Spurs
Eric Dier,2018-2019,Appendectomy,2018-12-16,2019-01-20,35 days,9.0,Spurs
Eric Dier,2018-2019,Thigh Muscle Strain,2018-10-29,2018-11-09,11 days,4.0,Spurs
Eric Dier,2018-2019,Calf Strain,2018-08-12,2018-08-17,5 days,,Spurs
Kevin Wimmer,2016-2017,Hamstring Injury,2016-08-10,2016-08-20,10 days,2.0,Spurs
Cameron Carter-Vickers,2021-2022,Ankle Injury,2021-08-19,2021-09-08,20 days,,Bournemouth
Cameron Carter-Vickers,2020-2021,Distortion of the ankle,2020-12-21,2020-12-10,11 days,,Spurs
Cameron Carter-Vickers,2020-2021,Fitness,2020-10-16,2020-11-04,19 days,6.0,Swansea
