team,team_id
arsenal,1
aston villa,2
bournemouth,3
brentford,4
brighton,5
burnley,6
cardiff,7
chelsea,8
crystal palace,9
everton,10
fulham,11
huddersfield,12
hull,13
leeds,14
leicester,15
liverpool,16
luton,17
man city,18
man united,19
middlesbrough,20
newcastle,21
norwich,22
nott'm forest,23
sheffield united,24
southampton,25
stoke,26
sunderland,27
swansea,28
tottenham,29
watford,30
west brom,31
west ham,32
wolves,33
