season_x,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,position,team_x,opp_team_name,Date,team
2016-17,Aaron Ramsey,0,0,4,0,2.7,16,181,0,0,0.8,1.4,2017-01-01 16:00:00+00:00,19,5,0,0,0,0,19,0,39611,0.0,2.0,4.0,1,280,478,198,76,True,0,19,MID,,Crystal Palace,01/01/17,Arsenal
2016-17,Aaron Wan-Bissaka,0,0,0,0,0.0,612,181,0,0,0.0,0.0,2017-01-01 16:00:00+00:00,0,1,0,0,0,0,19,0,66,0.0,2.0,0.0,0,-1,7,8,45,False,0,19,DEF,,Arsenal,01/01/17,Crystal Palace
2016-17,Abdoulaye Doucouré,0,0,10,0,5.3,482,190,4,0,2.7,3.6,2017-01-01 13:30:00+00:00,90,17,0,0,0,0,19,0,674,4.0,1.0,18.0,2,-3,7,10,46,True,0,19,MID,,Tottenham,01/01/17,Watford
2016-17,Ainsley Maitland-Niles,0,0,0,0,0.0,593,181,0,0,0.0,0.0,2017-01-01 16:00:00+00:00,0,5,0,0,0,0,19,0,110,0.0,2.0,0.0,0,-4,3,7,45,True,0,19,DEF,,Crystal Palace,01/01/17,Arsenal
2016-17,Alex Iwobi,0,3,37,1,62.2,21,181,0,1,19.6,55.6,2017-01-01 16:00:00+00:00,76,5,0,0,0,0,19,0,36229,0.0,2.0,78.0,11,4492,6051,1559,58,True,0,19,MID,,Crystal Palace,01/01/17,Arsenal
2016-17,Alex Oxlade-Chamberlain,0,0,7,0,10.9,18,181,0,0,4.2,8.4,2017-01-01 16:00:00+00:00,14,5,0,0,0,0,19,0,61164,0.0,2.0,23.0,1,-6722,672,7394,58,True,0,19,MID,,Crystal Palace,01/01/17,Arsenal
2016-17,Andros Townsend,0,0,11,0,16.8,120,181,2,0,4.4,12.4,2017-01-01 16:00:00+00:00,70,1,0,0,0,0,19,0,88756,0.0,2.0,15.0,2,2106,3290,1184,59,False,0,19,MID,,Arsenal,01/01/17,Crystal Palace
2016-17,Bamidele Alli,0,1,37,1,3.8,398,190,0,2,14.0,63.0,2017-01-01 13:30:00+00:00,60,18,0,0,0,0,19,0,264865,4.0,1.0,73.0,14,47615,51084,3469,82,False,0,19,MID,,Watford,01/01/17,Tottenham
2016-17,Ben Davies,0,0,3,0,1.8,386,190,1,0,0.3,1.6,2017-01-01 13:30:00+00:00,23,18,0,0,0,0,19,0,8346,4.0,1.0,0.0,1,107,233,126,47,False,0,19,DEF,,Watford,01/01/17,Tottenham
2016-17,Cameron Carter-Vickers,0,0,0,0,0.0,501,190,0,0,0.0,0.0,2017-01-01 13:30:00+00:00,0,18,0,0,0,0,19,0,1734,4.0,1.0,0.0,0,-14,10,24,43,False,0,19,DEF,,Watford,01/01/17,Tottenham
2016-17,Christian Benteke,0,0,0,0,0.8,213,181,2,0,3.6,4.4,2017-01-01 16:00:00+00:00,76,1,0,0,0,0,19,0,393361,0.0,2.0,31.0,2,-83589,7407,90996,77,False,0,19,FWD,,Arsenal,01/01/17,Crystal Palace
2016-17,Christian Eriksen,0,0,26,0,61.8,394,190,1,0,8.7,19.4,2017-01-01 13:30:00+00:00,90,18,0,0,0,0,19,0,656133,4.0,1.0,6.0,2,24644,48671,24027,86,False,0,19,MID,,Watford,01/01/17,Tottenham
2016-17,Christian Kabasele,0,0,4,0,0.0,414,190,0,0,0.4,4.0,2017-01-01 13:30:00+00:00,12,17,0,0,0,0,19,0,2384,4.0,1.0,0.0,1,-53,11,64,48,True,0,19,DEF,,Tottenham,01/01/17,Watford
2016-17,Connor Wickham,0,0,0,0,0.0,122,181,0,0,0.0,0.0,2017-01-01 16:00:00+00:00,0,1,0,0,0,0,19,0,13031,0.0,2.0,0.0,0,-237,33,270,56,False,0,19,FWD,,Arsenal,01/01/17,Crystal Palace
2016-17,Craig Cathcart,0,0,6,0,0.1,408,190,4,0,0.9,6.4,2017-01-01 13:30:00+00:00,90,17,0,0,0,0,19,0,8359,4.0,1.0,2.0,-1,-96,30,126,43,True,1,19,DEF,,Tottenham,01/01/17,Watford
2016-17,Danny Rose,0,0,21,1,36.2,383,190,0,0,5.5,14.8,2017-01-01 13:30:00+00:00,67,18,0,0,0,0,19,0,320413,4.0,1.0,4.0,6,53147,56937,3790,59,False,0,19,DEF,,Watford,01/01/17,Tottenham
2016-17,Danny Welbeck,0,0,0,0,0.0,26,181,0,0,0.0,0.0,2017-01-01 16:00:00+00:00,0,5,0,0,0,0,19,0,3766,0.0,2.0,0.0,0,119,219,100,73,True,0,19,FWD,,Crystal Palace,01/01/17,Arsenal
2016-17,DeAndre Yedlin,0,0,0,0,0.0,389,190,0,0,0.0,0.0,2017-01-01 13:30:00+00:00,0,18,0,0,0,0,19,0,7421,4.0,1.0,0.0,0,-54,8,62,44,False,0,19,DEF,,Watford,01/01/17,Tottenham
2016-17,Eric Dier,0,0,12,0,4.9,390,190,1,0,2.3,14.8,2017-01-01 13:30:00+00:00,90,18,0,0,0,0,19,0,200425,4.0,1.0,3.0,2,-1650,989,2639,50,False,0,19,DEF,,Watford,01/01/17,Tottenham
2016-17,Erik Lamela,0,0,0,0,0.0,393,190,0,0,0.0,0.0,2017-01-01 13:30:00+00:00,0,18,0,0,0,0,19,0,159927,4.0,1.0,0.0,0,-1667,111,1778,66,False,0,19,MID,,Watford,01/01/17,Tottenham
