season_x,team,kickoff_time,rolling_avg_influence,rolling_avg_ict_index
2016-17,bournemouth,2017-02-25 15:00:00+00:00,12.838888888888889,3.277777777777778
2016-17,bournemouth,2017-03-04 12:30:00+00:00,10.611111111111112,2.180555555555556
2016-17,bournemouth,2017-03-11 15:00:00+00:00,14.511111111111113,3.1888888888888887
2016-17,bournemouth,2017-03-18 17:30:00+00:00,13.033333333333333,2.9166666666666665
2016-17,bournemouth,2017-04-01 16:30:00+00:00,10.577777777777778,2.772222222222222
2016-17,bournemouth,2017-04-05 19:00:00+00:00,8.677777777777779,1.8972222222222221
2016-17,bournemouth,2017-04-08 16:30:00+00:00,8.577777777777778,1.7194444444444443
2016-17,bournemouth,2017-04-15 11:30:00+00:00,9.022222222222224,1.7249999999999999
2016-17,bournemouth,2017-04-22 14:00:00+00:00,10.194444444444445,2.4472222222222224
2016-17,bournemouth,2017-04-29 14:00:00+00:00,11.044444444444446,2.983333333333333
2016-17,bournemouth,2017-05-06 14:00:00+00:00,12.800000000000002,3.413888888888889
2016-17,bournemouth,2017-05-13 14:00:00+00:00,13.088888888888889,3.4694444444444446
2016-17,bournemouth,2017-05-21 14:00:00+00:00,10.671428571428573,2.561904761904762
2016-17,burnley,2016-08-13 14:00:00+00:00,10.88888888888889,2.211111111111111
2016-17,burnley,2016-08-20 14:00:00+00:00,14.055555555555555,2.2
2016-17,burnley,2016-08-27 14:00:00+00:00,14.42962962962963,2.2518518518518515
2016-17,burnley,2016-09-10 14:00:00+00:00,11.84848484848485,1.9333333333333333
2016-17,burnley,2016-09-17 14:00:00+00:00,10.663636363636364,1.8287878787878789
2016-17,burnley,2016-09-26 19:00:00+00:00,11.636363636363637,2.048484848484849
2016-17,burnley,2016-10-02 15:30:00+00:00,11.93939393939394,2.172727272727273
2016-17,burnley,2016-10-16 15:00:00+00:00,13.593939393939394,2.412121212121212
2016-17,burnley,2016-10-22 14:00:00+00:00,12.033333333333333,1.9444444444444446
2016-17,burnley,2016-10-29 14:00:00+00:00,15.549999999999999,2.3222222222222224
2016-17,burnley,2016-11-05 15:00:00+00:00,16.872222222222224,2.6166666666666667
2016-17,burnley,2016-11-21 20:00:00+00:00,15.027777777777779,2.522222222222222
2016-17,burnley,2016-11-26 12:30:00+00:00,11.227777777777776,2.422222222222222
2016-17,burnley,2016-12-03 15:00:00+00:00,7.722222222222222,2.3000000000000003
2016-17,burnley,2016-12-10 15:00:00+00:00,9.794444444444444,2.8166666666666664
2016-17,burnley,2016-12-14 19:45:00+00:00,9.944444444444445,2.341666666666667
2016-17,burnley,2016-12-18 16:00:00+00:00,12.372222222222222,2.2305555555555556
2016-17,burnley,2016-12-26 15:00:00+00:00,9.555555555555555,1.5944444444444443
2016-17,burnley,2016-12-31 15:00:00+00:00,12.772222222222224,2.236111111111111
2016-17,burnley,2017-01-02 15:00:00+00:00,10.761111111111111,2.188888888888889
2016-17,burnley,2017-01-14 15:00:00+00:00,12.300000000000002,2.338888888888889
2016-17,burnley,2017-01-22 14:15:00+00:00,11.412121212121214,2.3454545454545457
2016-17,burnley,2017-01-31 19:45:00+00:00,11.884848484848487,2.851515151515151
2016-17,burnley,2017-02-04 15:00:00+00:00,11.328205128205127,2.876923076923077
2016-17,burnley,2017-02-12 13:30:00+00:00,10.98974358974359,2.542307692307692
2016-17,burnley,2017-02-25 15:00:00+00:00,10.24102564102564,2.028205128205128
2016-17,burnley,2017-03-04 15:00:00+00:00,10.533333333333333,1.9769230769230768
2016-17,burnley,2017-03-12 16:00:00+00:00,11.974358974358974,2.2153846153846155
2016-17,burnley,2017-03-18 15:00:00+00:00,12.37948717948718,2.335897435897436
2016-17,burnley,2017-04-01 14:00:00+00:00,11.153846153846153,2.364102564102564
2016-17,burnley,2017-04-04 18:45:00+00:00,9.72820512820513,2.1564102564102563
